CWE ID: 1004, Name: Sensitive Cookie Without 'HttpOnly' Flag, Description: Нет описания
CWE ID: 1084, Name: Invokable Control Element with Excessive File or Data Access Operations, Description: Нет описания
CWE ID: 1085, Name: Invokable Control Element with Excessive Volume of Commented-out Code, Description: Нет описания
CWE ID: 1086, Name: Class with Excessive Number of Child Classes, Description: Нет описания
CWE ID: 1087, Name: Class with Virtual Method without a Virtual Destructor, Description: Нет описания
CWE ID: 1088, Name: Synchronous Access of Remote Resource without Timeout, Description: Нет описания
CWE ID: 1089, Name: Large Data Table with Excessive Number of Indices, Description: Нет описания
CWE ID: 109, Name: Struts: Validator Turned Off, Description: Нет описания
CWE ID: 1090, Name: Method Containing Access of a Member Element from Another Class, Description: Нет описания
CWE ID: 1091, Name: Use of Object without Invoking Destructor Method, Description: Нет описания
CWE ID: 1092, Name: Use of Same Invokable Control Element in Multiple Architectural Layers, Description: Нет описания
CWE ID: 1093, Name: Excessively Complex Data Representation, Description: Нет описания
CWE ID: 1094, Name: Excessive Index Range Scan for a Data Resource, Description: Нет описания
CWE ID: 1095, Name: Loop Condition Value Update within the Loop, Description: Нет описания
CWE ID: 1096, Name: Singleton Class Instance Creation without Proper Locking or Synchronization, Description: Нет описания
CWE ID: 1097, Name: Persistent Storable Data Element without Associated Comparison Control Element, Description: Нет описания
CWE ID: 1098, Name: Data Element containing Pointer Item without Proper Copy Control Element, Description: Нет описания
CWE ID: 1099, Name: Inconsistent Naming Conventions for Identifiers, Description: Нет описания
CWE ID: 11, Name: ASP.NET Misconfiguration: Creating Debug Binary, Description: Нет описания
CWE ID: 110, Name: Struts: Validator Without Form Field, Description: Нет описания
CWE ID: 1100, Name: Insufficient Isolation of System-Dependent Functions, Description: Нет описания
CWE ID: 1101, Name: Reliance on Runtime Component in Generated Code, Description: Нет описания
CWE ID: 1102, Name: Reliance on Machine-Dependent Data Representation, Description: Нет описания
CWE ID: 1103, Name: Use of Platform-Dependent Third Party Components, Description: Нет описания
CWE ID: 1104, Name: Use of Unmaintained Third Party Components, Description: Нет описания
CWE ID: 1105, Name: Insufficient Encapsulation of Machine-Dependent Functionality, Description: Нет описания
CWE ID: 1106, Name: Insufficient Use of Symbolic Constants, Description: Нет описания
CWE ID: 1107, Name: Insufficient Isolation of Symbolic Constant Definitions, Description: Нет описания
CWE ID: 1108, Name: Excessive Reliance on Global Variables, Description: Нет описания
CWE ID: 1109, Name: Use of Same Variable for Multiple Purposes, Description: Нет описания
CWE ID: 111, Name: Direct Use of Unsafe JNI, Description: Нет описания
CWE ID: 1110, Name: Incomplete Design Documentation, Description: Нет описания
CWE ID: 1111, Name: Incomplete I/O Documentation, Description: Нет описания
CWE ID: 1112, Name: Incomplete Documentation of Program Execution, Description: Нет описания
CWE ID: 1113, Name: Inappropriate Comment Style, Description: Нет описания
CWE ID: 1114, Name: Inappropriate Whitespace Style, Description: Нет описания
CWE ID: 1115, Name: Source Code Element without Standard Prologue, Description: Нет описания
CWE ID: 1116, Name: Inaccurate Comments, Description: Нет описания
CWE ID: 1117, Name: Callable with Insufficient Behavioral Summary, Description: Нет описания
CWE ID: 1118, Name: Insufficient Documentation of Error Handling Techniques, Description: Нет описания
CWE ID: 1119, Name: Excessive Use of Unconditional Branching, Description: Нет описания
CWE ID: 112, Name: Missing XML Validation, Description: Нет описания
CWE ID: 1120, Name: Excessive Code Complexity, Description: Нет описания
CWE ID: 1121, Name: Excessive McCabe Cyclomatic Complexity, Description: Нет описания
CWE ID: 1122, Name: Excessive Halstead Complexity, Description: Нет описания
CWE ID: 1123, Name: Excessive Use of Self-Modifying Code, Description: Нет описания
CWE ID: 1124, Name: Excessively Deep Nesting, Description: Нет описания
CWE ID: 1125, Name: Excessive Attack Surface, Description: Нет описания
CWE ID: 1126, Name: Declaration of Variable with Unnecessarily Wide Scope, Description: Нет описания
CWE ID: 1127, Name: Compilation with Insufficient Warnings or Errors, Description: Нет описания
CWE ID: 113, Name: Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'), Description: Нет описания
CWE ID: 114, Name: Process Control, Description: Нет описания
CWE ID: 115, Name: Misinterpretation of Input, Description: Нет описания
CWE ID: 116, Name: Improper Encoding or Escaping of Output, Description: Нет описания
CWE ID: 1164, Name: Irrelevant Code, Description: Нет описания
CWE ID: 117, Name: Improper Output Neutralization for Logs, Description: Нет описания
CWE ID: 1173, Name: Improper Use of Validation Framework, Description: Нет описания
CWE ID: 1174, Name: ASP.NET Misconfiguration: Improper Model Validation, Description: Нет описания
CWE ID: 1176, Name: Inefficient CPU Computation, Description: Нет описания
CWE ID: 1177, Name: Use of Prohibited Code, Description: Нет описания
CWE ID: 118, Name: Incorrect Access of Indexable Resource ('Range Error'), Description: Нет описания
CWE ID: 1187, Name: DEPRECATED: Use of Uninitialized Resource, Description: Нет описания
CWE ID: 1188, Name: Initialization of a Resource with an Insecure Default, Description: Нет описания
CWE ID: 1189, Name: Improper Isolation of Shared Resources on System-on-a-Chip (SoC), Description: Нет описания
CWE ID: 119, Name: Improper Restriction of Operations within the Bounds of a Memory Buffer, Description: Нет описания
CWE ID: 1190, Name: DMA Device Enabled Too Early in Boot Phase, Description: Нет описания
CWE ID: 1191, Name: On-Chip Debug and Test Interface With Improper Access Control, Description: Нет описания
CWE ID: 1192, Name: Improper Identifier for IP Block used in System-On-Chip (SOC), Description: Нет описания
CWE ID: 1193, Name: Power-On of Untrusted Execution Core Before Enabling Fabric Access Control, Description: Нет описания
CWE ID: 12, Name: ASP.NET Misconfiguration: Missing Custom Error Page, Description: Нет описания
CWE ID: 120, Name: Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'), Description: Нет описания
CWE ID: 1204, Name: Generation of Weak Initialization Vector (IV), Description: Нет описания
CWE ID: 1209, Name: Failure to Disable Reserved Bits, Description: Нет описания
CWE ID: 121, Name: Stack-based Buffer Overflow, Description: Нет описания
CWE ID: 122, Name: Heap-based Buffer Overflow, Description: Нет описания
CWE ID: 1220, Name: Insufficient Granularity of Access Control, Description: Нет описания
CWE ID: 1221, Name: Incorrect Register Defaults or Module Parameters, Description: Нет описания
CWE ID: 1222, Name: Insufficient Granularity of Address Regions Protected by Register Locks, Description: Нет описания
CWE ID: 1223, Name: Race Condition for Write-Once Attributes, Description: Нет описания
CWE ID: 1224, Name: Improper Restriction of Write-Once Bit Fields, Description: Нет описания
CWE ID: 1229, Name: Creation of Emergent Resource, Description: Нет описания
CWE ID: 123, Name: Write-what-where Condition, Description: Нет описания
CWE ID: 1230, Name: Exposure of Sensitive Information Through Metadata, Description: Нет описания
CWE ID: 1231, Name: Improper Prevention of Lock Bit Modification, Description: Нет описания
CWE ID: 1232, Name: Improper Lock Behavior After Power State Transition, Description: Нет описания
CWE ID: 1233, Name: Security-Sensitive Hardware Controls with Missing Lock Bit Protection, Description: Нет описания
CWE ID: 1234, Name: Hardware Internal or Debug Modes Allow Override of Locks, Description: Нет описания
CWE ID: 1235, Name: Incorrect Use of Autoboxing and Unboxing for Performance Critical Operations, Description: Нет описания
CWE ID: 1236, Name: Improper Neutralization of Formula Elements in a CSV File, Description: Нет описания
CWE ID: 1239, Name: Improper Zeroization of Hardware Register, Description: Нет описания
CWE ID: 124, Name: Buffer Underwrite ('Buffer Underflow'), Description: Нет описания
CWE ID: 1240, Name: Use of a Cryptographic Primitive with a Risky Implementation, Description: Нет описания
CWE ID: 1241, Name: Use of Predictable Algorithm in Random Number Generator, Description: Нет описания
CWE ID: 1242, Name: Inclusion of Undocumented Features or Chicken Bits, Description: Нет описания
CWE ID: 1243, Name: Sensitive Non-Volatile Information Not Protected During Debug, Description: Нет описания
CWE ID: 1244, Name: Internal Asset Exposed to Unsafe Debug Access Level or State, Description: Нет описания
CWE ID: 1245, Name: Improper Finite State Machines (FSMs) in Hardware Logic, Description: Нет описания
CWE ID: 1246, Name: Improper Write Handling in Limited-write Non-Volatile Memories, Description: Нет описания
CWE ID: 1247, Name: Improper Protection Against Voltage and Clock Glitches, Description: Нет описания
CWE ID: 1248, Name: Semiconductor Defects in Hardware Logic with Security-Sensitive Implications, Description: Нет описания
CWE ID: 1249, Name: Application-Level Admin Tool with Inconsistent View of Underlying Operating System, Description: Нет описания
CWE ID: 125, Name: Out-of-bounds Read, Description: Нет описания
CWE ID: 1250, Name: Improper Preservation of Consistency Between Independent Representations of Shared State, Description: Нет описания
CWE ID: 1251, Name: Mirrored Regions with Different Values, Description: Нет описания
CWE ID: 1252, Name: CPU Hardware Not Configured to Support Exclusivity of Write and Execute Operations, Description: Нет описания
CWE ID: 1253, Name: Incorrect Selection of Fuse Values, Description: Нет описания
CWE ID: 1254, Name: Incorrect Comparison Logic Granularity, Description: Нет описания
CWE ID: 1255, Name: Comparison Logic is Vulnerable to Power Side-Channel Attacks, Description: Нет описания
CWE ID: 1256, Name: Improper Restriction of Software Interfaces to Hardware Features, Description: Нет описания
CWE ID: 1257, Name: Improper Access Control Applied to Mirrored or Aliased Memory Regions, Description: Нет описания
CWE ID: 1258, Name: Exposure of Sensitive System Information Due to Uncleared Debug Information, Description: Нет описания
CWE ID: 1259, Name: Improper Restriction of Security Token Assignment, Description: Нет описания
CWE ID: 126, Name: Buffer Over-read, Description: Нет описания
CWE ID: 1260, Name: Improper Handling of Overlap Between Protected Memory Ranges, Description: Нет описания
CWE ID: 1261, Name: Improper Handling of Single Event Upsets, Description: Нет описания
CWE ID: 1262, Name: Improper Access Control for Register Interface, Description: Нет описания
CWE ID: 1263, Name: Improper Physical Access Control, Description: Нет описания
CWE ID: 1264, Name: Hardware Logic with Insecure De-Synchronization between Control and Data Channels, Description: Нет описания
CWE ID: 1265, Name: Unintended Reentrant Invocation of Non-reentrant Code Via Nested Calls, Description: Нет описания
CWE ID: 1266, Name: Improper Scrubbing of Sensitive Data from Decommissioned Device, Description: Нет описания
CWE ID: 1267, Name: Policy Uses Obsolete Encoding, Description: Нет описания
CWE ID: 1268, Name: Policy Privileges are not Assigned Consistently Between Control and Data Agents, Description: Нет описания
CWE ID: 1269, Name: Product Released in Non-Release Configuration, Description: Нет описания
CWE ID: 127, Name: Buffer Under-read, Description: Нет описания
CWE ID: 1270, Name: Generation of Incorrect Security Tokens, Description: Нет описания
CWE ID: 1271, Name: Uninitialized Value on Reset for Registers Holding Security Settings, Description: Нет описания
CWE ID: 1272, Name: Sensitive Information Uncleared Before Debug/Power State Transition, Description: Нет описания
CWE ID: 1273, Name: Device Unlock Credential Sharing, Description: Нет описания
CWE ID: 1274, Name: Improper Access Control for Volatile Memory Containing Boot Code, Description: Нет описания
CWE ID: 1275, Name: Sensitive Cookie with Improper SameSite Attribute, Description: Нет описания
CWE ID: 1276, Name: Hardware Child Block Incorrectly Connected to Parent System, Description: Нет описания
CWE ID: 1277, Name: Firmware Not Updateable, Description: Нет описания
CWE ID: 1278, Name: Missing Protection Against Hardware Reverse Engineering Using Integrated Circuit (IC) Imaging Techniques, Description: Нет описания
CWE ID: 1279, Name: Cryptographic Operations are run Before Supporting Units are Ready, Description: Нет описания
CWE ID: 128, Name: Wrap-around Error, Description: Нет описания
CWE ID: 1280, Name: Access Control Check Implemented After Asset is Accessed, Description: Нет описания
CWE ID: 1281, Name: Sequence of Processor Instructions Leads to Unexpected Behavior, Description: Нет описания
CWE ID: 1282, Name: Assumed-Immutable Data is Stored in Writable Memory, Description: Нет описания
CWE ID: 1283, Name: Mutable Attestation or Measurement Reporting Data, Description: Нет описания
CWE ID: 1284, Name: Improper Validation of Specified Quantity in Input, Description: Нет описания
CWE ID: 1285, Name: Improper Validation of Specified Index, Position, or Offset in Input, Description: Нет описания
CWE ID: 1286, Name: Improper Validation of Syntactic Correctness of Input, Description: Нет описания
CWE ID: 1287, Name: Improper Validation of Specified Type of Input, Description: Нет описания
CWE ID: 1288, Name: Improper Validation of Consistency within Input, Description: Нет описания
CWE ID: 1289, Name: Improper Validation of Unsafe Equivalence in Input, Description: Нет описания
CWE ID: 129, Name: Improper Validation of Array Index, Description: Нет описания
CWE ID: 1290, Name: Incorrect Decoding of Security Identifiers , Description: Нет описания
CWE ID: 1291, Name: Public Key Re-Use for Signing both Debug and Production Code, Description: Нет описания
CWE ID: 1292, Name: Incorrect Conversion of Security Identifiers, Description: Нет описания
CWE ID: 1293, Name: Missing Source Correlation of Multiple Independent Data, Description: Нет описания
CWE ID: 1294, Name: Insecure Security Identifier Mechanism, Description: Нет описания
CWE ID: 1295, Name: Debug Messages Revealing Unnecessary Information, Description: Нет описания
CWE ID: 1296, Name: Incorrect Chaining or Granularity of Debug Components, Description: Нет описания
CWE ID: 1297, Name: Unprotected Confidential Information on Device is Accessible by OSAT Vendors, Description: Нет описания
CWE ID: 1298, Name: Hardware Logic Contains Race Conditions, Description: Нет описания
CWE ID: 1299, Name: Missing Protection Mechanism for Alternate Hardware Interface, Description: Нет описания
CWE ID: 13, Name: ASP.NET Misconfiguration: Password in Configuration File, Description: Нет описания
CWE ID: 130, Name: Improper Handling of Length Parameter Inconsistency, Description: Нет описания
CWE ID: 1300, Name: Improper Protection of Physical Side Channels, Description: Нет описания
CWE ID: 1301, Name: Insufficient or Incomplete Data Removal within Hardware Component, Description: Нет описания
CWE ID: 1302, Name: Missing Source Identifier in Entity Transactions on a System-On-Chip (SOC), Description: Нет описания
CWE ID: 1303, Name: Non-Transparent Sharing of Microarchitectural Resources, Description: Нет описания
CWE ID: 1304, Name: Improperly Preserved Integrity of Hardware Configuration State During a Power Save/Restore Operation, Description: Нет описания
CWE ID: 131, Name: Incorrect Calculation of Buffer Size, Description: Нет описания
CWE ID: 1310, Name: Missing Ability to Patch ROM Code, Description: Нет описания
CWE ID: 1311, Name: Improper Translation of Security Attributes by Fabric Bridge, Description: Нет описания
CWE ID: 1312, Name: Missing Protection for Mirrored Regions in On-Chip Fabric Firewall, Description: Нет описания
CWE ID: 1313, Name: Hardware Allows Activation of Test or Debug Logic at Runtime, Description: Нет описания
CWE ID: 1314, Name: Missing Write Protection for Parametric Data Values, Description: Нет описания
CWE ID: 1315, Name: Improper Setting of Bus Controlling Capability in Fabric End-point, Description: Нет описания
CWE ID: 1316, Name: Fabric-Address Map Allows Programming of Unwarranted Overlaps of Protected and Unprotected Ranges, Description: Нет описания
CWE ID: 1317, Name: Improper Access Control in Fabric Bridge, Description: Нет описания
CWE ID: 1318, Name: Missing Support for Security Features in On-chip Fabrics or Buses, Description: Нет описания
CWE ID: 1319, Name: Improper Protection against Electromagnetic Fault Injection (EM-FI), Description: Нет описания
CWE ID: 132, Name: DEPRECATED: Miscalculated Null Termination, Description: Нет описания
CWE ID: 1320, Name: Improper Protection for Outbound Error Messages and Alert Signals, Description: Нет описания
CWE ID: 1321, Name: Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'), Description: Нет описания
CWE ID: 1322, Name: Use of Blocking Code in Single-threaded, Non-blocking Context, Description: Нет описания
CWE ID: 1323, Name: Improper Management of Sensitive Trace Data, Description: Нет описания
CWE ID: 1324, Name: DEPRECATED: Sensitive Information Accessible by Physical Probing of JTAG Interface, Description: Нет описания
CWE ID: 1325, Name: Improperly Controlled Sequential Memory Allocation, Description: Нет описания
CWE ID: 1326, Name: Missing Immutable Root of Trust in Hardware, Description: Нет описания
CWE ID: 1327, Name: Binding to an Unrestricted IP Address, Description: Нет описания
CWE ID: 1328, Name: Security Version Number Mutable to Older Versions, Description: Нет описания
CWE ID: 1329, Name: Reliance on Component That is Not Updateable, Description: Нет описания
CWE ID: 1330, Name: Remanent Data Readable after Memory Erase, Description: Нет описания
CWE ID: 1331, Name: Improper Isolation of Shared Resources in Network On Chip (NoC), Description: Нет описания
CWE ID: 1332, Name: Improper Handling of Faults that Lead to Instruction Skips, Description: Нет описания
CWE ID: 1333, Name: Inefficient Regular Expression Complexity, Description: Нет описания
CWE ID: 1334, Name: Unauthorized Error Injection Can Degrade Hardware Redundancy, Description: Нет описания
CWE ID: 1335, Name: Incorrect Bitwise Shift of Integer, Description: Нет описания
CWE ID: 1336, Name: Improper Neutralization of Special Elements Used in a Template Engine, Description: Нет описания
CWE ID: 1338, Name: Improper Protections Against Hardware Overheating, Description: Нет описания
CWE ID: 1339, Name: Insufficient Precision or Accuracy of a Real Number, Description: Нет описания
CWE ID: 134, Name: Use of Externally-Controlled Format String, Description: Нет описания
CWE ID: 1341, Name: Multiple Releases of Same Resource or Handle, Description: Нет описания
CWE ID: 1342, Name: Information Exposure through Microarchitectural State after Transient Execution, Description: Нет описания
CWE ID: 135, Name: Incorrect Calculation of Multi-Byte String Length, Description: Нет описания
CWE ID: 1351, Name: Improper Handling of Hardware Behavior in Exceptionally Cold Environments, Description: Нет описания
CWE ID: 1357, Name: Reliance on Insufficiently Trustworthy Component, Description: Нет описания
CWE ID: 138, Name: Improper Neutralization of Special Elements, Description: Нет описания
CWE ID: 1384, Name: Improper Handling of Physical or Environmental Conditions, Description: Нет описания
CWE ID: 1385, Name: Missing Origin Validation in WebSockets, Description: Нет описания
CWE ID: 1386, Name: Insecure Operation on Windows Junction / Mount Point, Description: Нет описания
CWE ID: 1389, Name: Incorrect Parsing of Numbers with Different Radices, Description: Нет описания
CWE ID: 1390, Name: Weak Authentication, Description: Нет описания
CWE ID: 1391, Name: Use of Weak Credentials, Description: Нет описания
CWE ID: 1392, Name: Use of Default Credentials, Description: Нет описания
CWE ID: 1393, Name: Use of Default Password, Description: Нет описания
CWE ID: 1394, Name: Use of Default Cryptographic Key, Description: Нет описания
CWE ID: 1395, Name: Dependency on Vulnerable Third-Party Component, Description: Нет описания
CWE ID: 14, Name: Compiler Removal of Code to Clear Buffers, Description: Нет описания
CWE ID: 140, Name: Improper Neutralization of Delimiters, Description: Нет описания
CWE ID: 141, Name: Improper Neutralization of Parameter/Argument Delimiters, Description: Нет описания
CWE ID: 1419, Name: Incorrect Initialization of Resource, Description: Нет описания
CWE ID: 142, Name: Improper Neutralization of Value Delimiters, Description: Нет описания
CWE ID: 1420, Name: Exposure of Sensitive Information during Transient Execution, Description: Нет описания
CWE ID: 1421, Name: Exposure of Sensitive Information in Shared Microarchitectural Structures during Transient Execution, Description: Нет описания
CWE ID: 1422, Name: Exposure of Sensitive Information caused by Incorrect Data Forwarding during Transient Execution, Description: Нет описания
CWE ID: 1423, Name: Exposure of Sensitive Information caused by Shared Microarchitectural Predictor State that Influences Transient Execution, Description: Нет описания
CWE ID: 1426, Name: Improper Validation of Generative AI Output, Description: Нет описания
CWE ID: 143, Name: Improper Neutralization of Record Delimiters, Description: Нет описания
CWE ID: 144, Name: Improper Neutralization of Line Delimiters, Description: Нет описания
CWE ID: 145, Name: Improper Neutralization of Section Delimiters, Description: Нет описания
CWE ID: 146, Name: Improper Neutralization of Expression/Command Delimiters, Description: Нет описания
CWE ID: 147, Name: Improper Neutralization of Input Terminators, Description: Нет описания
CWE ID: 148, Name: Improper Neutralization of Input Leaders, Description: Нет описания
CWE ID: 149, Name: Improper Neutralization of Quoting Syntax, Description: Нет описания
CWE ID: 15, Name: External Control of System or Configuration Setting, Description: Нет описания
CWE ID: 150, Name: Improper Neutralization of Escape, Meta, or Control Sequences, Description: Нет описания
CWE ID: 151, Name: Improper Neutralization of Comment Delimiters, Description: Нет описания
CWE ID: 152, Name: Improper Neutralization of Macro Symbols, Description: Нет описания
CWE ID: 153, Name: Improper Neutralization of Substitution Characters, Description: Нет описания
CWE ID: 154, Name: Improper Neutralization of Variable Name Delimiters, Description: Нет описания
CWE ID: 155, Name: Improper Neutralization of Wildcards or Matching Symbols, Description: Нет описания
CWE ID: 156, Name: Improper Neutralization of Whitespace, Description: Нет описания
CWE ID: 157, Name: Failure to Sanitize Paired Delimiters, Description: Нет описания
CWE ID: 158, Name: Improper Neutralization of Null Byte or NUL Character, Description: Нет описания
CWE ID: 159, Name: Improper Handling of Invalid Use of Special Elements, Description: Нет описания
CWE ID: 160, Name: Improper Neutralization of Leading Special Elements, Description: Нет описания
CWE ID: 161, Name: Improper Neutralization of Multiple Leading Special Elements, Description: Нет описания
CWE ID: 162, Name: Improper Neutralization of Trailing Special Elements, Description: Нет описания
CWE ID: 163, Name: Improper Neutralization of Multiple Trailing Special Elements, Description: Нет описания
CWE ID: 164, Name: Improper Neutralization of Internal Special Elements, Description: Нет описания
CWE ID: 165, Name: Improper Neutralization of Multiple Internal Special Elements, Description: Нет описания
CWE ID: 166, Name: Improper Handling of Missing Special Element, Description: Нет описания
CWE ID: 167, Name: Improper Handling of Additional Special Element, Description: Нет описания
CWE ID: 168, Name: Improper Handling of Inconsistent Special Elements, Description: Нет описания
CWE ID: 170, Name: Improper Null Termination, Description: Нет описания
CWE ID: 172, Name: Encoding Error, Description: Нет описания
CWE ID: 173, Name: Improper Handling of Alternate Encoding, Description: Нет описания
CWE ID: 174, Name: Double Decoding of the Same Data, Description: Нет описания
CWE ID: 175, Name: Improper Handling of Mixed Encoding, Description: Нет описания
CWE ID: 176, Name: Improper Handling of Unicode Encoding, Description: Нет описания
CWE ID: 177, Name: Improper Handling of URL Encoding (Hex Encoding), Description: Нет описания
CWE ID: 178, Name: Improper Handling of Case Sensitivity, Description: Нет описания
CWE ID: 179, Name: Incorrect Behavior Order: Early Validation, Description: Нет описания
CWE ID: 180, Name: Incorrect Behavior Order: Validate Before Canonicalize, Description: Нет описания
CWE ID: 181, Name: Incorrect Behavior Order: Validate Before Filter, Description: Нет описания
CWE ID: 182, Name: Collapse of Data into Unsafe Value, Description: Нет описания
CWE ID: 183, Name: Permissive List of Allowed Inputs, Description: Нет описания
CWE ID: 184, Name: Incomplete List of Disallowed Inputs, Description: Нет описания
CWE ID: 185, Name: Incorrect Regular Expression, Description: Нет описания
CWE ID: 186, Name: Overly Restrictive Regular Expression, Description: Нет описания
CWE ID: 187, Name: Partial String Comparison, Description: Нет описания
CWE ID: 188, Name: Reliance on Data/Memory Layout, Description: Нет описания
CWE ID: 190, Name: Integer Overflow or Wraparound, Description: Нет описания
CWE ID: 191, Name: Integer Underflow (Wrap or Wraparound), Description: Нет описания
CWE ID: 192, Name: Integer Coercion Error, Description: Нет описания
CWE ID: 193, Name: Off-by-one Error, Description: Нет описания
CWE ID: 194, Name: Unexpected Sign Extension, Description: Нет описания
CWE ID: 195, Name: Signed to Unsigned Conversion Error, Description: Нет описания
CWE ID: 196, Name: Unsigned to Signed Conversion Error, Description: Нет описания
CWE ID: 197, Name: Numeric Truncation Error, Description: Нет описания
CWE ID: 198, Name: Use of Incorrect Byte Ordering, Description: Нет описания
CWE ID: 20, Name: Improper Input Validation, Description: Нет описания
CWE ID: 200, Name: Exposure of Sensitive Information to an Unauthorized Actor, Description: Нет описания
CWE ID: 201, Name: Insertion of Sensitive Information Into Sent Data, Description: Нет описания
CWE ID: 202, Name: Exposure of Sensitive Information Through Data Queries, Description: Нет описания
CWE ID: 203, Name: Observable Discrepancy, Description: Нет описания
