id,name,lickvidacia
34,"Перехват и фальсификация трафика через интернет-платформы","Обновить механизмы защиты трафика, включая использование SSL/TLS. Провести мониторинг всех каналов передачи данных и усиливать механизмы аутентификации для защиты от атак на сеть."
35,"Сетевые атаки через удалённый доступ (VPN, RDP)","Провести аудит конфигураций VPN и RDP, внедрить многофакторную аутентификацию для удаленного доступа. Обновить системы безопасности и провести тестирование на проникновение."
36,"Злоупотребление правами доступа (privilege escalation)","Провести аудит прав доступа всех сотрудников, ограничить привилегии, чтобы они соответствовали минимуму для выполнения рабочих задач. Обновить процедуры контроля за доступом."
37,"Недостаточная защита административных и суперпользовательских учетных записей","Обновить пароли для административных учетных записей и ввести многофакторную аутентификацию. Регулярно проверять привилегии учетных записей и вводить дополнительные меры безопасности."
38,"Использование старых версий ПО и протоколов","Произвести обновление всех устаревших версий ПО и протоколов, что повысит уровень защиты и совместимость с новыми стандартами безопасности."
39,"Ошибки в управлении доступом к ресурсам","Провести аудит политик управления доступом, ограничить доступ к ресурсам в соответствии с принципом минимальных привилегий. Внедрить регулярные проверки безопасности."
40,"Проблемы с защитой и мониторингом облачных сервисов","Произвести анализ облачных сервисов, усилить мониторинг и защиту данных с помощью шифрования и аутентификации. Обновить политику безопасности и проверить соответствие международным стандартам."
41,"Отсутствие многофакторной аутентификации","Внедрить многофакторную аутентификацию для всех критически важных систем и сервисов. Проводить регулярные аудиты для проверки эффективности аутентификационных механизмов."
42,"Злоупотребление системами аутентификации пользователей","Провести аудит всех учетных записей и систем аутентификации, ограничить доступ и усилить контроль за аутентификацией пользователей. Внедрить систему уведомлений при подозрительных действиях."
43,"Использование уязвимых библиотек и фреймворков","Провести аудит используемых библиотек и фреймворков, обновить их до безопасных версий. Внедрить систему проверки на уязвимости для всех используемых компонентов ПО."
44,"Неадекватное ведение журналов и логов безопасности","Внедрить систему мониторинга и сбора логов безопасности, а также провести аудит текущих журналов. Обеспечить соответствие логирования международным стандартам безопасности."
45,"Отсутствие тестирования безопасности программного обеспечения","Разработать и внедрить процесс регулярного тестирования безопасности для всего программного обеспечения. Провести анализ уязвимостей и тестирование на проникновение."
46,"Неэффективное удаление или очистка логов","Внедрить процессы безопасного удаления и очистки логов, чтобы предотвратить несанкционированный доступ. Убедиться, что все важные данные правильно защищены и доступны только уполномоченным лицам."
47,"Утечка информации через несовершенные веб-сервисы","Провести аудит и улучшить безопасность всех веб-сервисов, применяя соответствующие средства защиты данных и регулярное тестирование безопасности. Убедиться в актуальности используемых протоколов безопасности."
48,"Вредоносные обновления ПО (включая драйверы и ОС)","Провести полный аудит всех обновлений программного обеспечения, проверить их источники и целостность. Установить системы проверки подлинности обновлений и реализовать защиту от атак типа supply chain."
49,"Проблемы с настройкой межсетевых экранов","Провести аудит настроек межсетевых экранов, обновить их конфигурацию с учетом текущих угроз. Внедрить более строгие правила фильтрации трафика и периодические тесты на проникновение."
50,"Отсутствие политики защиты от утечек данных (DLP)","Внедрить и настроить систему защиты от утечек данных (DLP). Проводить регулярное обучение сотрудников и тестирование на соблюдение политики безопасности."
51,"Ненадёжная защита данных при взаимодействии с внешними подрядчиками","Провести анализ текущих рисков и усилить защиту данных при работе с внешними подрядчиками. Внедрить строгие контракты и политики безопасности для подрядчиков."
52,"Необоснованный доступ подрядчиков к критичным системам","Провести аудит всех подрядчиков и ограничить их доступ к критичным системам. Внедрить строгие меры контроля и мониторинга доступа подрядчиков."
53,"Использование несоответствующих стандартам систем и решений","Провести проверку всех систем и решений на соответствие международным стандартам безопасности. При необходимости обновить системы или перейти на более безопасные альтернативы."
54,"Проблемы с контролем доступа к API","Обновить системы контроля доступа к API, внедрить механизмы аутентификации и авторизации, а также провести аудит использования API на соответствие стандартам безопасности."
55,"Подделка или манипуляция данными на сервере","Провести анализ целостности данных на сервере, провести аудит всех операций с данными. Внедрить системы защиты целостности данных и механизмы защиты от манипуляций."
56,"Отсутствие или слабая защита в виртуализированных средах","Укрепить защиту виртуализированных сред с помощью надежных механизмов изоляции и шифрования. Провести аудит и настройку безопасности виртуальных машин."
57,"Утечка данных через ошибочно настроенные сетевые устройства","Провести аудит всех сетевых устройств и устранить ошибки в их настройках. Убедиться, что все устройства защищены и настроены в соответствии с политиками безопасности."
58,"Неадекватное шифрование конфиденциальных данных","Обновить шифрование данных на всех уровнях хранения и передачи. Применить современные стандарты шифрования и провести регулярные проверки на соответствие лучшим практикам безопасности."
59,"Нарушение целостности данных через ошибочные системы резервного копирования","Провести анализ и тестирование систем резервного копирования, устранить ошибки, обновить процедуры восстановления данных. Убедиться в надежности всех копий и их целостности."
60,"Отсутствие защиты на уровне BIOS/UEFI","Включить защиту на уровне BIOS/UEFI, установить пароли для предотвращения несанкционированного доступа. Обновить прошивки и настроить необходимые меры безопасности на этом уровне."
61,"Проблемы с физическим доступом в серверные комнаты","Укрепить физическую защиту серверных помещений с помощью системы контроля доступа, видеонаблюдения и ограничений на доступ. Убедиться, что только уполномоченные сотрудники могут получить доступ к серверному оборудованию."
62,"Невозможность восстановить данные из резервных копий","Провести проверку работоспособности всех резервных копий, протестировать восстановление данных. Обновить процедуры резервного копирования и восстановления для обеспечения надежности."
63,"Физическая кража устройств с конфиденциальной информацией","Немедленно уведомить правоохранительные органы о краже, заблокировать доступ к данным на устройствах, если это возможно. Провести анализ инцидента и внести коррективы в процедуры хранения данных."
64,"Нарушение политики безопасности на уровне поставщиков оборудования","Провести аудит всех поставщиков и их соответствие политике безопасности организации. Внедрить дополнительные меры контроля для внешних поставок оборудования и сервисов."
65,"Использование ненадежных сертификатов и протоколов SSL/TLS","Обновить сертификаты SSL/TLS на всех серверных платформах и обеспечить их соответствие современным стандартам безопасности. Провести тестирование на уязвимости в используемых протоколах."
66,"Подделка или утечка сертификатов безопасности","Провести проверку всех сертификатов безопасности на подлинность и целостность. Обновить сертификаты, если это необходимо, и внедрить процедуры для предотвращения утечек в будущем."
67,"Атаки на систему связи через VoIP","Укрепить безопасность системы VoIP с помощью шифрования и защиты каналов передачи данных. Внедрить контроль за доступом и регулярный мониторинг для выявления аномалий."
68,"Мошенничество с использованием телефонных звонков","Предоставить обучение сотрудникам по выявлению мошенничества через телефонные звонки. Внедрить многофакторную аутентификацию и механизмы защиты от фишинга по телефону."
69,"Атаки через приложения и устройства интернета вещей (IoT)","Провести аудит безопасности всех IoT-устройств и приложений, обновить прошивки и настроить защиту. Внедрить дополнительные механизмы мониторинга трафика и защиты от внешних атак."
70,"Нарушение защиты данных через неправильное управление базами данных","Провести аудит и оптимизацию настроек баз данных для обеспечения их безопасности. Внедрить шифрование данных и защиту на уровне базы данных."
71,"Вредоносное использование данных через публичные компьютеры","Запретить использование корпоративных данных на публичных компьютерах. Обновить политику безопасности и внедрить мониторинг доступа через незарегистрированные устройства."
72,"Несоответствие системы безопасности международным стандартам","Провести аудит текущих систем безопасности на соответствие международным стандартам (например, ISO 27001, NIST). Принять меры для соответствия и улучшения текущих процедур."
73,"Сбор и распространение данных без согласия пользователя","Провести анализ и оценку всех процессов сбора данных, убедиться в наличии согласия пользователей на сбор и использование их данных. Обновить политику обработки персональных данных."
74,"Использование уязвимостей в мобильных приложениях","Обновить мобильные приложения, устранив все известные уязвимости. Провести тестирование на проникновение и анализ безопасности приложений."
75,"Атаки через социальные инженерии (телефонные звонки, SMS)","Провести обучение сотрудников методам защиты от социальной инженерии. Внедрить механизмы подтверждения аутентичности запросов по телефону и через SMS."
76,"Нарушение интеллектуальной собственности","Провести аудит всех систем, связанных с интеллектуальной собственностью. Внедрить системы защиты авторских прав и методов мониторинга использования интеллектуальной собственности."
77,"Отсутствие контрольных механизмов за активностью на рабочих местах","Внедрить системы мониторинга за активностью сотрудников на рабочих местах, обеспечивая конфиденциальность и соответствие политике безопасности компании."
78,"Утечка информации через службы поддержки пользователей","Провести обучение сотрудников служб поддержки безопасным методам обращения с личными и конфиденциальными данными. Установить строгие процедуры обработки запросов пользователей."
79,"Ошибка в конфиденциальности при обмене информацией с партнёрами","Обновить процедуры обмена информацией с партнерами, внедрить шифрование данных и защиту в процессе обмена. Провести аудит всех соглашений с партнерами по безопасности данных."
80,"Превышение полномочий в облачных сервисах","Провести аудит прав доступа в облачные сервисы, ограничить доступ только для необходимых пользователей. Внедрить многофакторную аутентификацию и регулярный мониторинг."
81,"Невозможность обнаружения и остановки инцидентов в реальном времени","Внедрить системы мониторинга и обнаружения инцидентов в реальном времени, настроить автоматические уведомления и блокировки для предотвращения угроз."
82,"Ненадежная защита данных в транзите","Внедрить шифрование всех данных в транзите, используя SSL/TLS или другие современные протоколы защиты. Провести аудит всех каналов связи на уязвимости."
83,"Использование пиратских или несанкционированных копий ПО","Провести аудит использования программного обеспечения и убедиться в соответствии лицензий. Прекратить использование нелицензионных копий и обновить ПО до законных версий."
84,"Превышение доступа к данным через сторонние устройства","Ограничить доступ к корпоративным данным с устройств, не зарегистрированных в системе безопасности. Внедрить процедуры контроля и мониторинга доступа сторонних устройств."
85,"Проблемы с прозрачностью и отчетностью по вопросам безопасности","Разработать и внедрить систему отчетности и мониторинга безопасности, с регулярным предоставлением отчетов руководству о текущем уровне защиты и инцидентах."
86,"Необоснованное развертывание служб или сервисов без анализа рисков","Провести оценку рисков для всех развертываемых служб и сервисов. Обновить процедуры планирования и внедрить механизмы контроля рисков для новых решений."
87,"Использование плохих практик при реализации безопасности приложений","Провести аудит кода и процессов разработки программного обеспечения. Обновить методологии безопасности и внедрить лучшие практики по разработке безопасных приложений."
88,"Отсутствие контроля за мобильными устройствами сотрудников (BYOD)","Внедрить политику контроля мобильных устройств в корпоративной сети. Установить необходимые приложения для мониторинга и защиты данных на мобильных устройствах."
89,"Неэффективное управление жизненным циклом данных","Внедрить процессы управления жизненным циклом данных, включая их безопасное удаление, хранение и передачу. Обновить политику хранения данных для соответствия стандартам безопасности."
90,"Злоупотребление корпоративными ресурсами сотрудниками","Внедрить систему мониторинга за использованием корпоративных ресурсов, установить процедуры контроля и предупреждения злоупотреблений."
91,"Отсутствие мониторинга системы безопасности в реальном времени","Внедрить системы мониторинга в реальном времени для всех критичных систем и сервисов, обеспечивая своевременное выявление и реагирование на инциденты."
92,"Неэффективное реагирование на угрозы через внешний периметр","Усилить защиту внешнего периметра с помощью более сложных систем фильтрации трафика, таких как WAF (Web Application Firewall), IPS (Intrusion Prevention System)."
93,"Недостаточные меры для защиты персональных данных","Обновить политику защиты персональных данных, обеспечить шифрование всех персональных данных как в покое, так и в процессе передачи. Регулярно проводить аудит безопасности данных."
94,"Скачивание неавторизованных приложений, установленных на устройствах","Провести аудит всех установленных приложений на устройствах сотрудников, заблокировать установку несанкционированных приложений, и внедрить систему мобильной безопасности."
95,"Использование поддельных и фальшивых электронных документов","Провести проверку всех электронных документов, связанных с инцидентом. Внедрить системы для проверки подлинности документов и использовать цифровые подписи для защиты информации."
96,"Использование старых и незащищённых протоколов связи","Обновить все устаревшие протоколы связи на более современные, безопасные протоколы. Внедрить шифрование на всех каналах передачи данных."
97,"Превышение прав доступа к корпоративной сети или серверу","Провести аудит прав доступа ко всем корпоративным системам и сервисам. Осуществить пересмотр прав доступа и применить принцип минимальных привилегий."
98,"Нарушение принципа минимальных привилегий","Перепроверить настройки прав доступа на всех уровнях системы, внедрить минимальные привилегии для всех пользователей и системных администраторов."
99,"Неиспользование механизма уведомлений и блокировок при угрозах","Внедрить автоматические системы уведомлений и блокировки угроз на всех уровнях информационной безопасности, чтобы минимизировать потенциальные риски."
100,"Отсутствие контрольных систем для защиты информации на этапе разработки ПО","Внедрить контроль безопасности на всех этапах разработки ПО, включая автоматизированные тесты на уязвимости, код-ревью и контрольные механизмы защиты."
